,NewGenPopulation,NewGenOrange,NewGenYellow,NewGenBlue,TotalPop,TotalOrange,TotalYellow,TotalBlue,ShareOrange,ShareYellow,ShareBlue,BestStrategy,Pred_O,Pred_Y,Pred_B
41,3209,1223,908,1078,9748,3530.0,2784.0,3434.0,0.36212556421830117,0.2855970455478047,0.35227739023389415,Orange,,,
42,3174,1214,909,1051,9638,3604.0,2748.0,3286.0,0.37393650134882755,0.2851213944801826,0.34094210417098986,Orange,,,
43,3102,1211,893,998,9485,3648.0,2710.0,3127.0,0.384607274644175,0.2857142857142857,0.32967843964153926,Orange,,,
44,3144,1242,941,961,9420,3667.0,2743.0,3010.0,0.38927813163481956,0.29118895966029723,0.3195329087048832,Orange,,,
45,3089,1260,960,869,9335,3713.0,2794.0,2828.0,0.39775040171397963,0.29930369576861277,0.3029459025174076,Orange,,,
46,3093,1263,985,845,9326,3765.0,2886.0,2675.0,0.4037100579026378,0.30945743083851596,0.28683251125884623,Orange,,,
47,3209,1263,1134,812,9391,3786.0,3079.0,2526.0,0.4031519539985092,0.3278671068043872,0.2689809391971036,Orange,,,
48,3190,1210,1164,816,9492,3736.0,3283.0,2473.0,0.3935946059839865,0.34587020648967554,0.260535187526338,Orange,,,
49,3163,1167,1217,779,9562,3640.0,3515.0,2407.0,0.3806734992679356,0.36760092030955865,0.25172558042250576,Yellow,,,
50,3101,1030,1304,767,9454,3407.0,3685.0,2362.0,0.3603765601861646,0.38978210281362385,0.24984133700021155,Yellow,,,
51,3089,978,1319,792,9353,3175.0,3840.0,2338.0,0.339463273815888,0.4105634555757511,0.24997327060836094,Yellow,,,
52,2963,819,1317,827,9153,2827.0,3940.0,2386.0,0.30886048290178086,0.4304599584835573,0.26067955861466185,Yellow,,,
53,2926,767,1288,871,8978,2564.0,3924.0,2490.0,0.2855869904210292,0.43706838939630205,0.27734462018266876,Yellow,,,
54,2935,722,1311,902,8824,2308.0,3916.0,2600.0,0.2615593834995467,0.44378966455122393,0.29465095194922936,Yellow,,,
55,2960,685,1238,1037,8821,2174.0,3837.0,2810.0,0.2464573177644258,0.43498469561274233,0.31855798662283186,Yellow,,,
56,2961,638,1189,1134,8856,2045.0,3738.0,3073.0,0.23091689250225836,0.42208672086720866,0.34699638663053295,Yellow,,,
57,2980,680,1093,1207,8901,2003.0,3520.0,3378.0,0.22503089540501067,0.39546118413661385,0.37950792045837545,Blue,,,
58,3019,696,1006,1317,8960,2014.0,3288.0,3658.0,0.22477678571428572,0.3669642857142857,0.4082589285714286,Blue,,,
59,3046,743,891,1412,9045,2119.0,2990.0,3936.0,0.23427307904919845,0.33056937534549474,0.4351575456053068,Blue,,,
60,3048,807,830,1411,9113,2246.0,2727.0,4140.0,0.2464610995281466,0.2992428398990453,0.4542960605728081,Blue,,,
61,3037,887,750,1400,9131,2437.0,2471.0,4223.0,0.2668930018617895,0.2706165808783266,0.46249041725988393,Blue,,,
62,3046,999,642,1405,9131,2693.0,2222.0,4216.0,0.2949293615157157,0.24334684043368743,0.4617237980505969,Blue,,,
63,3036,1102,598,1336,9119,2988.0,1990.0,4141.0,0.3276675074021274,0.21822568264064043,0.4541068099572321,Blue,,,
64,3004,1231,579,1194,9086,3332.0,1819.0,3935.0,0.3667180277349769,0.200198106977768,0.4330838652872551,Orange,,,
65,3005,1327,597,1081,9045,3660.0,1774.0,3611.0,0.4046434494195688,0.19613045881702598,0.3992260917634052,Orange,,,
66,2987,1437,572,978,8996,3995.0,1748.0,3253.0,0.444086260560249,0.19430858159181857,0.3616051578479324,Orange,,,
67,2942,1504,627,811,8934,4268.0,1796.0,2870.0,0.47772554286993507,0.20102977389747034,0.3212446832325946,Orange,,,
68,2919,1572,697,650,8848,4513.0,1896.0,2439.0,0.5100587703435805,0.21428571428571427,0.27565551537070526,Orange,,,
69,2941,1582,794,565,8802,4658.0,2118.0,2026.0,0.5291979095660078,0.24062713019768234,0.23017496023630993,Orange,,,
70,2939,1512,929,498,8799,4666.0,2420.0,1713.0,0.5302875326741675,0.27503125355153996,0.19468121377429254,Orange,,,
71,2953,1428,1089,436,8833,4522.0,2812.0,1499.0,0.5119438469376203,0.3183516359107891,0.16970451715159063,Orange,,,
72,2862,1267,1223,372,8754,4207.0,3241.0,1306.0,0.4805803061457619,0.37023075165638564,0.14918894219785242,Orange,,,
73,2926,1093,1434,399,8741,3788.0,3746.0,1207.0,0.43336002745681274,0.4285550852305228,0.13808488731266447,Yellow,,,
74,2921,910,1634,377,8709,3270.0,4291.0,1148.0,0.3754736479503961,0.49270869215753815,0.13181765989206568,Yellow,,,
75,2897,691,1789,417,8744,2694.0,4857.0,1193.0,0.30809698078682524,0.5554666056724611,0.13643641354071362,Yellow,,,
76,2917,545,1880,492,8735,2146.0,5303.0,1286.0,0.24567830566685747,0.6070978820835718,0.14722381224957068,Yellow,,,
77,2950,372,1997,581,8764,1608.0,5666.0,1490.0,0.18347786398904609,0.6465084436330443,0.17001369237790964,Yellow,,,
78,2983,320,1938,725,8850,1237.0,5815.0,1798.0,0.13977401129943504,0.6570621468926554,0.2031638418079096,Yellow,,,
79,2972,234,1812,926,8905,926.0,5747.0,2232.0,0.10398652442448063,0.6453677709152161,0.2506457046603032,Yellow,,,
80,3020,207,1667,1146,8975,761.0,5417.0,2797.0,0.08479108635097493,0.6035654596100278,0.31164345403899724,Yellow,,,
